meter_id,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,3892.850639567584,4323.803952360778,4569.473068557675,5139.722668658374,5371.49247248395
X7,909.726431263452,1062.7616334277504,1139.643339934501,1335.7368129770982,1421.54328729838
X10,2064.685214244007,2363.587089835165,2487.457481435573,2881.356286993323,3008.982801956138
X16,2501.230940301084,3002.2604166851006,3327.8571756871384,3929.65532615713,4251.761507361153
X18,1884.189252860634,1905.4991572179651,1849.5388634838332,1935.2895178586946,1884.3853686305135
X20,37.6701974826345,203.31474438105846,434.2151844551063,717.399322638846,947.4940987439205
X26,1109.4236410990538,1064.5861175111281,1008.5707214574533,1010.515755173242,936.5583612775655
X30,1778.800466159561,2701.442412361199,3494.135947558443,4519.868457192185,5218.363029004647
X31,376.70412931813814,366.3033847355896,341.40893268025434,341.4626598794318,319.29201271339605
X32,373.51988098980576,363.644434482713,340.66940402711356,343.15646838085013,321.30695735853726
X35,4.4511317093126035,4.426001874484318,4.228535965200447,4.343745595804486,4.16838926855889
X37,2364.622990524017,2943.0178128298153,3378.2916484039247,4055.2700933084056,4460.053432632802
X41,1767.1636546423895,1445.0945408173054,1066.1102005775813,793.7906080491601,452.30970381681675
X42,86.2398476645006,362.6113374576677,600.0712283045771,896.038988941952,1122.9881849321157
X43,467.9394570248161,500.67143306006324,536.856531373853,599.3944612723966,610.454132505053
X44,1688.7802100126696,1374.053757830742,1202.2788095277106,998.8437892359243,669.3522989750154
X47,30.49281743985199,83.07881446399388,126.42476722722783,181.48081864073916,221.73164069606392
X50,1954.7630980626172,3397.025849904069,4557.875964448984,6069.6878746896255,7205.418821000451
X51,10038.217503049575,9700.68043011395,8766.307695068055,8644.290253593317,7881.700701621714
X55,5916.656044205793,7722.815796546565,9172.567081288424,11262.423574765451,12581.37810331162
X59,1370.899884518841,1913.880345853462,2421.808679946054,2981.1745695472587,3502.6906419363017
X61,1805.1362058371624,1884.8729128022248,1931.3592138204272,2082.3468327860437,2133.4803133330806
X62,147.32481335893917,243.50693005062007,323.3567784026924,430.9709209605862,506.13576551263327
X67,802.6644518572504,754.0112672762508,669.4782233302076,663.6281578363547,677.8611001416905
X68,3955.3682830806256,3756.4777989728764,3396.7048098088953,3281.511437518418,3114.126630266147
X70,500.61823017222093,701.3036119763732,774.8951720557832,972.6844702755518,1138.3195844269399
X73,102.10886109070536,71.42957740307655,38.058707562308605,13.607095672530262,0.3898395009912413
X75,820.7210874472644,837.2565571678184,901.741793145736,1023.141910433395,1024.5885974450957
X76,461.34155561885217,482.4653202659811,542.2599171696818,639.9266712356367,660.8065851852818
X80,7371.208524703734,6550.585370938998,5621.3344061643265,5716.866662354012,6028.763762248073
X82,667.0241966427242,716.7963208731442,690.6993532661966,761.0176321249148,811.5375844100054
X87,2066.4030571584813,2155.8396832548387,2002.3133996574477,2165.1961100576345,2174.8907230618806
X88,48.052174544432354,215.11251351545337,323.88833513449424,543.1304919362717,745.035863271312
X91,-57.73470331581001,185.20144002398118,332.9240177882998,560.2765174494771,813.9980785094117
X94,157.09828451038751,161.27422420258156,160.1640832489402,160.37830413504003,159.13721125559022
X102,1002.0299716310527,1078.2031221908305,1013.257048419437,1103.8068119725979,1202.4114139101366
X105,160.27203077427527,369.67817128991385,489.7381975626098,678.087034631033,831.3673002834184
X106,522.0367332256449,550.0368961402258,532.0522863284966,563.1089161633046,561.4796350290471
X107,-31.02293640452966,86.38762555175688,160.2444488331279,263.7542820545034,354.6680696060836
X110,328.1658499441458,363.82732493993376,393.7217503040381,462.56025557545564,496.3906385398647
X111,500.2656503778857,467.22799002958175,395.2519275737875,364.6851110919916,328.8627816294645
X116,529.6622504019435,646.1619738012485,677.9395204175313,793.7319758359681,867.496255260899
X120,610.395619223781,764.8034453617493,799.3716454349411,956.31928501213,1082.8250886721232
X123,933.4024841276072,1046.2514971612331,1056.1146327840715,1171.1905408750654,1214.905130107149
X124,1109.4555350074436,1215.9050102096999,1192.033809085905,1304.1653122168686,1366.833405567501
X125,505.6156493957105,641.4111183193356,699.7729001605151,861.9201066283135,1029.9555302238136
X126,199.14924232544558,170.64314556834236,175.07701149787707,168.76086812310552,152.26707245624544
X130,225.773863400557,265.4949655916264,298.6885701919635,354.01762077799526,376.59020657935827
X132,278.19882358970335,274.5245091610589,260.4412663264769,265.252019826504,255.91026116440946
X133,174.37376165781944,195.98037215085185,212.41527815246124,244.45588487558797,256.93730816526954
X134,210.58900845847623,213.73785249361464,210.83081950423394,227.6443317395773,221.3911809222053
X139,268.7935241081787,272.40806732124963,261.0175375070596,269.9127475727899,262.9502691637065
X140,293.28474523989416,280.3541546729169,258.4209129085017,254.99862503044517,242.42042615876102
X142,316.90565882504285,332.52593996602565,333.399573683702,357.7977317489997,357.3191303632697
X143,100.02749841915129,113.45471940817995,123.15346445313021,139.79959244619982,145.65115651464535
X148,189.03700307439476,192.1891129149354,186.61530914505767,195.11484065668134,191.460239784026
X149,232.2924424553529,232.414069065298,224.21723338516838,231.12096243018442,224.10225572013343
X155,122.52427758477059,147.50632152124837,164.03309599067813,187.2424298664128,196.00654541673345
X157,191.39594159269123,177.26665255801524,157.2932303789911,149.4766546254182,142.8854882993567
X158,190.74736299569048,189.73223927783795,182.0570998801038,185.82916737840196,179.9369191560663
X160,174.66499573180485,185.67765276437484,191.62256523978795,209.35395137444047,213.28901657074582
X161,336.48723419130505,323.12172367624134,300.2709493040808,298.29934174408646,289.8543700214368
X163,215.89012603097328,225.76060950331976,227.90758823904292,246.5809461803599,244.75069255242616
X165,206.56493272754335,214.3503083045558,213.0451316738244,227.06273766601007,226.60543708938326
X166,313.52922848816564,355.13479358045385,381.87545968950275,433.0759978100294,446.68685212999014
X172,71.0388664365013,74.6007107473984,73.93631746448604,78.7603608143609,78.85234677223244
X175,220.86451114691474,231.16044664199663,224.46195116933157,238.61260977387528,238.16850745900211
X176,182.57306420114236,185.45018600371253,183.4712665677589,191.73937655246536,189.7505030930592
X177,206.34844295945814,210.66335823465096,200.72381464377963,208.9990657465667,203.47536913287047
X178,228.57197395591575,232.47167615098357,234.72185504991546,246.0637272409366,243.47391333575922
X183,132.6191233633366,134.68560539466802,132.18248925228517,138.10235049921943,135.512723794509
X186,180.29525484233577,180.0242188179598,174.78969715264643,180.98538214332365,173.87353468020373
X187,142.0781379346251,149.86219256836716,152.00656314159872,164.11688291905529,165.86986099370097
X192,310.56956338624025,313.1233341434357,305.94719310559844,320.61651655404887,311.6024713775072
X194,126.83100924774942,145.02856216362093,157.6412998546981,181.2577522011686,193.71879211724684
X195,239.20461841938388,238.16912754499273,229.0985410761768,237.7160017478597,228.45762027497116
X196,325.480951136448,325.69911859734157,316.66606955408145,330.3654495356311,320.1284973453117
X200,165.2686573471233,163.29478043358932,156.99327390924506,160.31897180665476,153.88507768145936
X201,188.7415446811274,207.1542390736034,211.58852719422364,231.80125976090474,238.7805668373373
X205,261.70509542860015,268.6384346258693,268.92823945516955,285.3455970018345,279.92547543377236
X206,214.44460493189484,223.9407200370982,223.33257644701015,240.44704321261972,239.54730083626245
X211,204.2798954350422,206.35579064785506,203.448650437713,215.27079837348197,210.47391561376847
X213,159.64056757201658,168.52820969745912,168.2941739889211,181.0284512484086,181.75086393658384
X214,302.8045136845979,301.3038564028255,291.4767996632318,303.4288187938336,292.1112591008986
X215,294.29098754944926,295.4143430987951,285.90083224700663,303.79658988431174,310.5713138442563
X216,150.15568649230187,162.6555682730846,168.8835479605311,188.29891652863742,189.79585090948152
X217,241.9845226256451,253.24413903177808,251.55834397015377,266.44497040891883,267.444449708475
X218,191.618942226534,202.7345843803221,205.72415027833392,222.2455169122002,224.60623127360859
X219,33.18177163685306,52.39408064440859,69.59299725101413,90.84475952101758,106.21976047949276
X223,211.21758177030455,215.6131380321162,213.11285714664996,226.5515805785658,223.21747159773093
X225,228.3889053122842,232.76258032779535,227.2136548569661,238.26891900609817,232.66730820741165
X228,270.4516993475893,269.2534486178079,259.14451845042447,267.4748400477703,257.60138727946196
X229,231.23820045878333,223.64864112627748,213.3736837540094,218.13343886083996,208.821935706798
X230,240.46512820394815,243.7374009020365,238.28012095413067,249.37313119553124,244.15235637816136
X231,139.61562396798783,140.52254103423112,135.66060066251157,141.27895922567566,136.55095907345964
X232,302.31218370817743,305.55065634251827,298.0274964890784,311.20847279943706,304.23869213960484
X233,135.3065238768126,202.37111175049506,254.82628122894153,322.5529645363839,363.9079786825176
X235,99.43938297926992,100.35264322028061,97.85027628039497,101.94985903625785,99.474269441427
X241,251.4388378417244,249.71679083833564,239.57580391296332,246.05313521072398,236.8106512931996
X242,129.3832119532069,146.25349436041796,157.57533495133748,179.03460910169923,189.33137728215615
X243,267.60538049789767,268.0295826031623,257.51896691810134,265.14158509391694,256.3192087876913
X245,182.27697171511093,182.7926144266022,177.84073599373448,183.8179174227455,178.68988526569038
X247,229.0692312672658,262.466351203152,282.0743017565071,322.7656121183659,343.2049200798624
X248,146.76562428710557,149.07360457344478,146.43777534123603,154.41690591238512,152.13228960338148
X250,357.09873167495937,352.1842390970539,338.3919178412208,349.874122657947,334.03048026065954
X252,309.96980274011963,325.26391781132713,325.6300755035598,343.64022840393125,335.99421456484316
X253,250.75635944501207,242.36857664972243,223.83856576760684,221.4478199147647,210.78256047067921
X254,216.07424996696483,216.22166260817698,210.46595782777368,220.62199806092477,213.76087158606333
X255,272.0825907110821,268.4821973337626,258.0393257668281,266.2727270460387,253.36087052028253
X260,200.59471454170105,202.3046634080653,196.98831290474016,205.01457242815212,199.4104262025277
X262,244.6053963861202,226.1085540235595,202.7695337375535,191.63430185670163,170.17764055777465
X263,170.43132260199678,177.23114539647986,172.61457316143748,182.18951053947313,180.79134568288822
X266,195.28864044484567,205.79759125092187,203.53795851570362,217.2665381527661,218.41475990081977
X269,197.87453499741065,203.82548833182804,201.1210732162777,213.44396371702717,211.0174968639592
X270,322.2893992251928,316.14891300943157,297.1036641652695,299.68514979416955,282.5413391042652
X271,216.84370574595184,217.51689593851196,208.80652929307368,214.34611668095613,208.10621145381737
X275,270.44936097723837,263.0180375782454,249.85210961007155,252.3638058939123,238.76422092320706
X276,117.6345736732373,115.87594163125195,111.75396119346664,114.10984374687143,109.21229086626877
X282,238.8272148798477,212.54370227197316,183.0352305472611,176.53047570396433,173.04231333447166
X283,156.46861725865443,156.26077894382266,151.49942024667746,157.6644854003541,152.7648752091466
X286,251.80738456531643,263.26021957456044,267.09237439286034,287.86758555667,284.5608799514232
X289,178.0561528021801,184.69386456992004,185.03368970005343,197.54277330360424,197.66425660588635
X296,151.6120002629949,166.41028221319263,168.73940511451207,185.48620757049875,190.19226692839
X297,124.92704000731258,132.91602307201296,134.43760599328866,145.47637144377632,145.37475711000693
X299,163.61011316846128,166.0845538588405,161.90662927087448,169.74120317471446,167.30714942804153
X300,214.99994777693234,239.92608846951788,257.1453070995663,291.24130009995696,305.7471189013927
X302,117.60496425684109,114.30478065823179,107.31372078759915,107.90618598379902,101.2951877669425
X303,402.83868294442084,379.67766746059743,351.06919237428974,349.74861091385134,321.24667304843234
X305,267.03225029946265,275.69689048257385,272.40269889306967,285.1720575384518,284.81065758166073
X308,132.8960228587211,154.47806127587967,170.75738028295973,197.3175127971724,209.8964776344386
X312,208.4189701817334,194.29869588706217,172.79720869276758,163.52732810716887,145.62639735034574
X313,137.61132774003005,146.71560073373007,155.12873224886494,168.88829767405676,165.44286229325417
X314,100.7134473335656,121.1575331872254,136.91301891396262,162.4410540635422,176.05766726670052
X315,218.8032753958755,206.05768522473127,188.07478997020314,181.60911959428094,168.17646276301207
X320,123.87540126551733,122.69364786274632,118.44294166529592,121.31503017690976,118.88039344022246
X323,155.1724231042781,155.92616456599688,152.8342763218814,159.56422349837052,155.84990083061223
X326,81.12685317552683,68.56966626571129,55.270886054668246,45.44964194740173,32.92912198446423
X329,149.3190278782985,153.2456809245706,146.5827287391787,150.34635207654077,150.72756397173012
X330,248.83308568197637,232.5353135943282,202.4800057404602,190.07698289464668,182.08031689354604
X331,171.36459153667352,178.72953600241402,178.27160751771274,190.71611422621018,192.21252228900354
X333,148.69369472033614,156.70842540825248,156.65933808703394,168.43642248496417,171.38362140564743
X337,237.79952927892882,226.8646105561933,204.43908800880834,197.0885343008097,184.44847883914716
X341,108.95045628516802,118.51114010083388,119.94612027282518,131.223956007967,135.28721999728623
X347,169.02754062268036,166.0712363952115,158.0210185197065,159.95952264796952,153.4413806210434
X349,165.88886683085678,173.65470242604027,176.54358996928966,190.2613629812523,190.12093412384263
X350,255.52153319415604,251.56413808463978,240.4092915314681,244.7791950295206,233.42426947509728
X352,235.96295325248468,207.97442922913822,175.7438976819612,154.3661954192418,124.51367007942348
X353,165.5310150710308,165.17044670780493,160.12613072419694,166.08485140370786,160.4979955057416
X354,162.97476929114936,159.55211562189018,146.12003348216183,144.11509631225132,136.2521439179762
X357,230.25453268186484,235.88738186252024,233.21074836695968,246.7925717438411,244.21865703335123
X358,151.40926428156712,153.5410930987424,151.5219076208836,159.62785290472618,156.34750644062512
X363,229.8668013373871,220.34007836517705,204.3125347043561,201.3646262507683,186.4718427428991
X364,173.22787655254604,162.19818575224647,143.4697379054001,134.76837675851303,122.40059509168556
X367,109.2931656582785,111.1151419793816,107.58627530809488,111.99785045128353,110.17152579720624
X368,235.5408857430404,233.97355711902006,223.64529158688947,228.91798176838736,222.83908319301133
X371,224.9669889872435,237.03886469996934,242.04404143982669,262.65321103192986,265.3996043324609
X376,221.15752540474588,212.11196995203852,195.60387008936124,193.097556808452,183.56213653274594
X377,119.8587610815312,99.2586244202735,76.03927139814125,63.97392111424413,57.795606055935565
X378,209.9831306350766,213.334871519579,208.77493321690605,218.36560672896442,214.69578420375618
X379,170.19595572924965,163.91699511630716,153.63653736713866,151.65661333238154,145.21888231891572
X383,256.2650656082425,229.24012344280825,196.899559823435,176.62588665679377,149.11482850079346
X386,220.96502562233383,226.43628616141714,222.27944061491263,234.01136149523546,232.07078735652007
X389,143.19152114477862,158.16486011529713,161.14112334923104,177.53020981550299,178.5064192268805
X393,238.82474249661635,236.99976516142587,228.61236643351245,235.5355706927078,226.60871308708616
X396,123.84377776943558,130.59116804582166,130.31199582332442,140.08028794318042,142.05533457446103
X397,161.6371242059955,175.04459003190829,183.12041356531995,202.38305499552695,210.3282114393205
X398,105.73947626455792,114.43125064390718,118.83925084552531,129.7289101622872,132.4112550368198
X399,119.1908959072377,113.69147714431719,106.70169758677504,108.13183824301532,99.78235967386804
X402,232.233471283478,233.9575569527928,229.62624039761795,239.5835506786209,234.52685002948328
X403,122.02858628306507,123.2659957594382,119.82118578203546,124.54632812177739,121.80300740707334
X405,158.50736313580805,159.90167631774435,156.58550064321656,163.71192886689246,159.82470270986832
X406,273.4024934081483,263.5552831695625,244.76591665911195,244.35571591611227,226.74264918387235
X407,277.13429148606974,282.7426797354868,280.17859776688647,296.05493334881254,292.69200895881966
X408,233.8966446561941,238.26268841109686,236.63179445363076,253.1458088969435,248.7338549883484
X410,145.19112699264477,144.1582918350817,137.12579520490272,140.25709091542808,134.59478689546833
X412,38.77096816083009,37.85132079475135,36.16669915826865,37.22874161626717,34.52955237039451
X414,219.74308830261367,208.20523905731824,190.2730512864653,184.79131329663437,168.13650325803002
X419,116.52829954278917,116.38589367669718,112.35404132756695,116.06476597195218,112.12496634459137
X421,247.324601174797,236.45863411836567,218.18230988247225,218.1930427275865,207.7354235603504
X422,215.64344592239723,219.07199943698743,214.56434620944572,227.44948139921215,222.65540429569623
X423,116.03883328223053,129.112359466794,137.5509193302373,155.18285536399986,162.73730633969265
X426,216.13233246992482,222.42148191043114,219.57779996179954,232.50643737276664,229.04855311519552
X427,256.3881973925275,263.74667770908053,262.3651387646022,279.2807767319166,277.25372200128214
X431,293.93198030492965,303.3772254339186,302.05333760301596,319.07597488014227,304.4370457618363
X435,225.45209578501036,226.50719926736247,219.74995348051883,228.12447689911752,221.63330317049642
X443,115.65943690804865,131.78371970560846,139.77559348051977,158.42704788410353,169.1138299224106
X445,244.20030081696316,214.5990554251783,185.3014410408882,167.67910614903172,150.89499385574604
X446,200.38241617095855,198.34217136715404,189.51079647437862,194.043487486781,186.48213009082824
X449,227.13688727551576,223.07052143277218,215.46162069332937,221.05643587535016,210.21132762157185
X450,179.61963784355962,181.9124584383773,176.86342994933216,184.72488921930383,180.48768982840596
X455,208.86629432553335,178.4309208367321,143.73508672683903,120.99063182848958,116.23544517445632
X457,162.2333518830339,168.7870457265709,165.00324403917625,173.43779041400705,175.238023411018
X459,103.0157058040088,107.46985145576203,108.63409895634945,116.89815690209703,117.60730845242189
X460,107.3315738549923,106.04790726068966,101.81380687878523,105.38586353184282,100.67209387175622
X462,145.26115347878002,140.57283740480187,131.36126403046418,132.54102825780066,134.98735491927278
X468,155.53631226648542,154.84611714998792,150.0945644087421,157.00948266814734,148.5339163055326
X470,240.9968425292973,243.95550857553428,239.40009915275763,250.68019188925234,245.20947262766683
X472,173.94100108648163,173.9958694172818,167.61866857323943,174.3605022203617,169.18796808670987
X473,135.95339714093632,134.23084261718554,127.99149748706684,130.34048334535547,124.6533068560632
X481,180.99795349738696,184.21129270951755,178.68999842738478,184.21057078242063,175.8776982450258
